PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s)
40066698,Single-cell profiling reveals the intratumor heterogeneity and immunosuppressive microenvironment in cervical adenocarcinoma.,,,
40066676,Arid4a Suppresses Breast Tumor Metastasis by Enhancing MTSS1 Expression via mRNA Stability.,,,
40066672,Multifunctional Liposomes with Enhanced Stability for Imaging-Guided Cancer Chemodynamic and Photothermal Therapy.,,,
40066659,Inhibition of HDAC4 in granulosa cells improved co-cultured oocyte maturation in vitro independent of LH in porcine.,,"Zuo, Lin, Li, Wang, Xia, Wang","State Key Laboratory of Animal Biotech Breeding, College of Biological Sciences, China Agricultural University, Beijing 100193, China., State Key Laboratory of Animal Biotech Breeding, College of Biological Sciences, China Agricultural University, Beijing 100193, China., State Key Laboratory of Animal Biotech Breeding, College of Biological Sciences, China Agricultural University, Beijing 100193, China., State Key Laboratory of Animal Biotech Breeding, College of Biological Sciences, China Agricultural University, Beijing 100193, China., State Key Laboratory of Animal Biotech Breeding, College of Biological Sciences, China Agricultural University, Beijing 100193, China., State Key Laboratory of Animal Biotech Breeding, College of Biological Sciences, China Agricultural University, Beijing 100193, China."
40066656,Socioeconomic Disparities in Prostate Cancer Treatment: The Impact of Area Deprivation Index on Initial Treatment Type for Localized PCa in a North-American Cohort.,,,
40066652,Intestinal polyps and chronic schistosomiasis.,,,
40066644,Impact of Neoadjuvant and Adjuvant Pleural Intensity-Modulated Radiotherapy in Multimodality Treatment for Malignant Pleural Mesothelioma.,,,
40066615,NTRK protein expression in NSCLC and its clinicopathological correlation.,,,
40066580,Comorbidities of hypothyroidism.,,,
40066559,Prognostic Value of Serum β2-Microglobulin in Predicting Survival of Patients with Diffuse Large B-Cell Lymphoma.,,,
