PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s)
40066680,A community-engaged implementation mapping approach to increase SNAP participation in a diverse Latine community.,,,
40066644,Impact of Neoadjuvant and Adjuvant Pleural Intensity-Modulated Radiotherapy in Multimodality Treatment for Malignant Pleural Mesothelioma.,,,
40066635,IDA study: post-COVID-19 school readiness vulnerability in children entering primary school in Lazio Region.,,,
40066587,Clinical Significance of Bone Metastases in Pleural Mesothelioma.,,,
40066547,Immune-Related Adverse Event of Immunotherapy: Diabetes.,,,
40066452,Neutrophil extracellular traps and macrophage activation contibute to thrombosis and post-covid syndrome in SARS-CoV-2 infection.,,,
40066451,The role of m,,,
40066442,A comprehensive prognostic and immunological implications of Gremlin 1 in lung adenocarcinoma.,,,
40066373,Extralobar Pulmonary Sequestration in an Adult Female Patient Mimicking Lung Abscess: A Case Report.,,,
40066338,Progress of tanshinone IIA against respiratory diseases: therapeutic targets and potential mechanisms.,,,
